contract_id,source_length,parse_time,stg_build_time,detection_time,total_static_time
sb_bbbdb5367463,1077,0.0005660000000204946,7.50000000948603e-06,1.0000002248489182e-07,0.0005736000000524655
sb_784009c07589,1860,0.0008066000000042095,3.199999980552093e-06,9.999999406318238e-08,0.0008098999999788248
sb_d918731cebdd,712,0.00028789999998934945,2.2999999771400326e-06,9.999999406318238e-08,0.00029029999996055267
sb_d210fc21c6fd,570,0.000958099999991191,7.399999987001138e-06,9.999999406318238e-08,0.0009655999999722553
sb_a1a505f4d254,574,0.00022390000000882537,2.2000000114985596e-06,9.999999406318238e-08,0.00022620000001438711
sb_a4c6ab0924fe,792,0.00028159999999388674,2.099999989013668e-06,9.999999406318238e-08,0.0002837999999769636
sb_ee0df823e630,1423,0.0005783999999948719,3.0000000208474376e-06,9.999999406318238e-08,0.0005815000000097825
sb_5bdf79f5c756,527,0.0003841000000193162,2.8000000042993634e-06,9.999999406318238e-08,0.00038700000001767876
sb_ca6d797c809a,16509,3.2117173000000037,1.9100000002936213e-05,1.9999998812636477e-07,3.2117365999999947
sb_8525b9c841c6,486,0.00026500000001306034,3.399999997100167e-06,9.999999406318238e-08,0.0002685000000042237
sb_3016dcfca805,480,0.00023590000000695,2.2000000114985596e-06,9.999999406318238e-08,0.00023820000001251174
sb_a4c33aa1b035,6374,0.004035899999990988,1.5699999977414336e-05,2.9999998218954715e-07,0.004051899999950592
sb_07ab4f0b502c,366,0.000285200000007535,3.199999980552093e-06,9.999999406318238e-08,0.00028849999998215026
sb_8cfc8702a1a0,742,0.0006994999999960783,1.0400000007848575e-05,2.000000165480742e-07,0.0007101000000204749
sb_3bf849eea5a2,1278,0.0009881000000007134,8.40000001289809e-06,4.999999987376214e-07,0.0009970000000123491
sb_6f5e18f2dbfb,1101,0.0008670999999935702,4.499999988638592e-06,1.9999998812636477e-07,0.0008717999999703352
sb_5ec3d85c76b1,1147,0.00089309999998477,3.800000001774606e-06,1.0000002248489182e-07,0.0008970000000090295
sb_5765dccd66c7,9214,1.5799834999999973,3.370000001723383e-05,2.000000165480742e-07,1.580017400000031
sb_3b0317da6075,585,0.0007058999999856042,7.400000015422847e-06,2.9999998218954715e-07,0.0007135999999832165
sb_0ca34ef4d8e1,626,0.0008989000000099168,1.28000000074735e-05,2.000000165480742e-07,0.0009119000000339383
sb_a55236719706,466,0.0005507999999849744,2.7099999982738154e-05,9.999999406318238e-08,0.0005779999999617758
sb_7f05171b2d6c,498,0.0002703000000110478,2.099999989013668e-06,1.0000002248489182e-07,0.0002725000000225464
sb_abecfbc6b745,453,0.0002487000000144235,1.900000000887303e-06,9.999999406318238e-08,0.000250700000009374
sb_ca5393038228,501,0.00025650000000609907,1.4000000021496817e-06,0.0,0.00025790000000824875
sb_487adeb218dc,493,0.00024070000000619984,1.3000000080864993e-06,9.999999406318238e-08,0.00024210000000834953
sb_b4751ff85a66,578,0.00026569999999992433,1.499999996212864e-06,9.999999406318238e-08,0.0002672999999902004
sb_2467c66a24f7,552,0.0003093999999919106,3.3000000030369847e-06,1.0000002248489182e-07,0.00031280000001743247
sb_641f6d9e0a4f,346,0.00014659999999366846,1.3000000080864993e-06,1.0000002248489182e-07,0.00014800000002423985
sb_ebeff1cc498b,1415,0.000720599999993965,1.8999999724655936e-06,9.999999406318238e-08,0.0007225999999604937
sb_1f079a3b8bb6,847,0.00039970000000266737,2.3999999996249244e-06,9.999999406318238e-08,0.00040219999999635547
sb_3de6aef9e910,736,0.00031529999998269886,3.7000000077114237e-06,9.999999406318238e-08,0.00031909999998447347
sb_2d5ef1bfd7cb,1063,0.0005543999999986227,3.900000024259498e-06,9.999999406318238e-08,0.0005584000000169453
sb_35fddfbd32c2,8537,0.004254600000024311,2.4999999993724487e-05,9.999999406318238e-08,0.004279700000012099
sb_5cd651cfdea6,5069,0.002596699999998009,1.0299999985363684e-05,9.999999406318238e-08,0.002607099999977436
sb_d27ca8263b12,732,0.00037799999998355815,2.3999999996249244e-06,1.0000002248489182e-07,0.00038050000000566797
sb_597dbc64af9d,1782,0.0005749000000037086,2.999999992425728e-06,9.999999406318238e-08,0.0005779999999901975
sb_0228289d9aa9,5513,0.003973099999996066,1.0800000012523014e-05,9.999999406318238e-08,0.003984000000002652
